id,name,common_names,usda_code,family,family_apg
2004,"Ipomopsis polycladon (Torr.) V. Grant","Manybranched Gilia",IPPO2,Polemoniaceae,Polemoniaceae
2005,"Ipomopsis pumila (Nutt.) V. Grant","Dwarf Gilia",IPPU4,Polemoniaceae,Polemoniaceae
2006,"Iresine diffusa Humb. & Bonpl. ex Willd.","Juba's Bush",IRDI,Amaranthaceae,Amaranthaceae
2007,"Iris cristata Ait.","Dwarf Crested Iris",IRCR,Iridaceae,Iridaceae
2008,"Iris douglasiana Herbert","Douglas Iris",IRDO,Iridaceae,Iridaceae
2009,"Iris innominata Henderson","Del Norte County Iris",IRIN,Iridaceae,Iridaceae
2010,"Iris macrosiphon Torr.","Bowltube Iris",IRMA,Iridaceae,Iridaceae
2011,"Iris missouriensis Nutt.","Rocky Mountain Iris",IRMI,Iridaceae,Iridaceae
2012,"Iris setosa Pallas ex Link","Beachhead Iris",IRSES,Iridaceae,Iridaceae
2013,"Iris sp.","Broad Flag","",Iridaceae,Iridaceae
2014,"Iris tenax ssp. klamathensis Lenz","Klamath Iris",IRTEK2,Iridaceae,Iridaceae
2015,"Iris tenuissima Dykes","Longtube Iris",IRTET2,Iridaceae,Iridaceae
2016,"Iris verna L.","Dwarf Violet Iris",IRVEV,Iridaceae,Iridaceae
2017,"Iris versicolor L.","Harlequin Blueflag",IRVE2,Iridaceae,Iridaceae
2018,"Iris virginica L.","Virginia Iris",IRVIV,Iridaceae,Iridaceae
2019,"Isocoma acradenia var. acradenia","Alkali Goldenbush",ISACA2,Asteraceae,Asteraceae
2020,"Isocoma pluriflora (Torr. & Gray) Greene","Southern Jimmyweed",ISPL,Asteraceae,Asteraceae
2021,"Iva axillaris Pursh",Povertyweed,IVAX,Asteraceae,Asteraceae
2022,"Iva xanthifolia Nutt.","Giant Sumpweed",IVXA,Asteraceae,Asteraceae
2023,"Ivesia gordonii (Hook.) Torr. & Gray","Gordon's Ivesia",IVGO,Rosaceae,Rosaceae
2024,"Jacquemontia ovalifolia ssp. sandwicensis (Gray) Robertson","Ovalleaf Clustervine",JAOVS,Convolvulaceae,Convolvulaceae
2025,"Jacquinia pungens","","",Theophrastaceae,Primulaceae
2026,"Jamesia americana Torr. & Gray",Cliffbush,JAAMA,Hydrangeaceae,Hydrangeaceae
2027,"Jatropha cardiophylla (Torr.) Muell.-Arg.","Bloodroot Bush",JACA2,"",""
2028,"Jatropha spatulata","Torote Amarillo","",Euphorbiaceae,Euphorbiaceae
2029,"Jeffersonia diphylla (L.) Pers.",Twinleaf,JEDI,Berberidaceae,Berberidaceae
2030,"Juglans californica S. Wats.","California Walnut",JUCA,Juglandaceae,Juglandaceae
2031,"Juglans cinerea L.",Butternut,JUCI,Juglandaceae,Juglandaceae
2032,"Juglans hindsii (Jepson) Jepson ex R.E. Sm.","Hinds' Black Walnut",JUHI,Juglandaceae,Juglandaceae
2033,"Juglans major (Torr.) Heller","Arizona Walnut",JUMA,Juglandaceae,Juglandaceae
2034,"Juglans nigra L.","Black Walnut",JUNI,Juglandaceae,Juglandaceae
2035,"Juglans regia L.","English Walnut",JURE80,Juglandaceae,Juglandaceae
2036,"Juglans sp.",Walnut,"",Juglandaceae,Juglandaceae
2037,"Juncus acutus ssp. leopoldii (Parl.) Snog.","Leopold's Rush",JUACL,Juncaceae,Juncaceae
2038,"Juncus balticus Willd.","Baltic Rush",JUARA,Juncaceae,Juncaceae
2039,"Juncus bufonius L.","Toad Rush",JUBUB,Juncaceae,Juncaceae
2040,"Juncus bufonius var. bufonius","Toad Rush",JUBUB,Juncaceae,Juncaceae
2041,"Juncus dudleyi Wieg.","Dudley's Rush",JUDU2,Juncaceae,Juncaceae
2042,"Juncus effusus L.","Common Rush",JUEFE2,Juncaceae,Juncaceae
2043,"Juncus effusus var. pacificus Fern. & Wieg.","Pacific Rush",JUEFP,Juncaceae,Juncaceae
2044,"Juncus ensifolius Wikstr.","Swordleaf Rush",JUEN,Juncaceae,Juncaceae
2045,"Juncus lesueurii Boland.","Salt Rush",JULE,Juncaceae,Juncaceae
2046,"Juncus mertensianus Bong.","Mertens' Rush",JUME3,Juncaceae,Juncaceae
2047,"Juncus mexicanus Willd. ex J.A. & J.H. Schultes","Mexican Rush",JUME4,Juncaceae,Juncaceae
2048,"Juncus sp.",Rush,"",Juncaceae,Juncaceae
2049,"Juncus stygius L.","Moor Rush",JUSTA,Juncaceae,Juncaceae
2050,"Juncus tenuis Willd.","Poverty Rush",JUTE,Juncaceae,Juncaceae
2051,"Juncus textilis Buch.","Basket Rush",JUTE2,Juncaceae,Juncaceae
2052,"Juncus torreyi Coville","Torrey's Rush",JUTO,Juncaceae,Juncaceae
2053,"Juniperus californica Carr.","California Juniper",JUCA7,Cupressaceae,Cupressaceae
2054,"Juniperus communis L.","Common Juniper",JUCOD,Cupressaceae,Cupressaceae
2055,"Juniperus communis var. montana Ait.","Common Juniper",JUCOM2,Cupressaceae,Cupressaceae
2056,"Juniperus deppeana Steud.","Alligator Juniper",JUDE2,Cupressaceae,Cupressaceae
2057,"Juniperus horizontalis Moench","Creeping Juniper",JUHO2,Cupressaceae,Cupressaceae
2058,"Juniperus monosperma (Engelm.) Sarg.","Oneseed Juniper",JUMO,Cupressaceae,Cupressaceae
2059,"Juniperus occidentalis Hook.","Western Juniper",JUOCO,Cupressaceae,Cupressaceae
2060,"Juniperus osteosperma (Torr.) Little","Utah Juniper",JUOS,Cupressaceae,Cupressaceae
2061,"Juniperus pinchotii Sudsworth","Pinchot's Juniper",JUPI,Cupressaceae,Cupressaceae
2062,"Juniperus scopulorum Sarg.","Rocky Mountain Juniper",JUSC2,Cupressaceae,Cupressaceae
2063,"Juniperus sp.","Juniper Wood","",Cupressaceae,Cupressaceae
2064,"Juniperus virginiana L.","Eastern Redcedar",JUVIV,Cupressaceae,Cupressaceae
2065,"Juniperus virginiana var. silicicola (Small) J. Silba","Southern Redcedar",JUVIS,Cupressaceae,Cupressaceae
2066,"Juniperus virginiana var. virginiana","Eastern Redcedar",JUVIV,Cupressaceae,Cupressaceae
2067,"Justicia californica (Benth.) D. Gibson",Beloperone,JUCA8,Acanthaceae,Acanthaceae
2068,"Justicia crassifolia (Chapman) Chapman ex Small","Thickleaf Waterwillow",JUCR,Acanthaceae,Acanthaceae
2069,"Kallstroemia californica (S. Wats.) Vail","California Caltrop",KACA,Zygophyllaceae,Zygophyllaceae
2070,"Kalmia angustifolia L.","Sheep Laurel",KAAN,Ericaceae,Ericaceae
2071,"Kalmia latifolia L.","Mountain Laurel",KALA,Ericaceae,Ericaceae
2072,"Kalmia microphylla (Hook.) Heller","Alpine Laurel",KAMI,Ericaceae,Ericaceae
2073,"Kalmia polifolia Wangenh.","Bog Laurel",KAPO,Ericaceae,Ericaceae
2074,"Keckiella breviflora ssp. breviflora","Bush Beardtongue",KEBRB,Scrophulariaceae,Orobanchaceae
2075,"Keckiella cordifolia (Benth.) Straw","Heartleaf Penstemon",KECO,Scrophulariaceae,Orobanchaceae
2076,"Kochia americana S. Wats.",Greenmolly,KOAM,Chenopodiaceae,Amaranthaceae
2077,"Koeleria macrantha (Ledeb.) J.A. Schultes","Prairie Junegrass",KOMA,Poaceae,Poaceae
2078,"Krameria erecta Willd. ex J.A. Schultes","Littleleaf Ratany",KRER,Krameriaceae,Krameriaceae
2079,"Krameria grayi Rose & Painter","White Ratany",KRGR,Krameriaceae,Krameriaceae
2080,"Krascheninnikovia lanata (Pursh) A.D.J. Meeuse & Smit",Winterfat,KRLA2,Chenopodiaceae,Amaranthaceae
2081,"Krigia biflora (Walt.) Blake","Twoflower Dwarfdandelion",KRBIB,Asteraceae,Asteraceae
2082,"Lachnanthes caroliana (Lam.) Dandy","Carolina Redroot",LACA5,Haemodoraceae,Haemodoraceae
2083,"Lactuca biennis (Moench) Fern.","Tall Blue Lettuce",LABI,Asteraceae,Asteraceae
2084,"Lactuca canadensis L.","Canada Lettuce",LACA,Asteraceae,Asteraceae
2085,"Lactuca ludoviciana (Nutt.) Riddell","Biannual Lettuce",LALU,Asteraceae,Asteraceae
2086,"Lactuca sativa L.","Garden Lettuce",LASA3,Asteraceae,Asteraceae
2087,"Lactuca serriola L.","Prickly Lettuce",LASE,Asteraceae,Asteraceae
2088,"Lactuca tatarica var. pulchella (Pursh) Breitung","Blue Lettuce",LATAP,Asteraceae,Asteraceae
2089,"Lactuca virosa L.","Bitter Lettuce",LAVI8,Asteraceae,Asteraceae
2090,"Lagenaria siceraria (Molina) Standl.","Bottle Gourd",LASI,Cucurbitaceae,Cucurbitaceae
2091,"Lamarckia aurea (L.) Moench",Goldentop,LAAU,Poaceae,Poaceae
2092,"Laminaria groenlandica Rosenvinge","","",Laminariaceae,""
2093,"Laportea canadensis (L.) Weddell","Canadian Woodnettle",LACA3,Urticaceae,Urticaceae
2094,"Lappula occidentalis (S. Wats.) Greene","Flatspine Stickseed",LAOCO,Boraginaceae,Boraginaceae
2095,"Lappula occidentalis var. cupulata (Gray) Higgins","Flatspine Stickseed",LAOCC,Boraginaceae,Boraginaceae
2096,"Lappula occidentalis var. occidentalis","Desert Stickseed",LAOCO,Boraginaceae,Boraginaceae
2097,"Lappula squarrosa (Retz.) Dumort.","European Stickseed",LASQ,Boraginaceae,Boraginaceae
2098,"Larix americana","",LALA,Pinaceae,Pinaceae
2099,"Larix laricina (Du Roi) K. Koch",Tamarack,LALA,Pinaceae,Pinaceae
2100,"Larix occidentalis Nutt.","Western Larch",LAOC,Pinaceae,Pinaceae
2101,"Larrea tridentata (Sess‚ & Moc. ex DC.) Coville",Creosotebush,LATRT,Zygophyllaceae,Zygophyllaceae
2102,"Larrea tridentata var. tridentata",Creosotebush,LATRT,Zygophyllaceae,Zygophyllaceae
2103,"Lasthenia californica DC. ex Lindl.","California Goldfields",LACA7,Asteraceae,Asteraceae
2104,"Lasthenia glabrata Lindl.","Yellowray Goldfields",LAGLG2,Asteraceae,Asteraceae
2105,"Lathyrus brachycalyx ssp. brachycalyx","Bonneville Peavine",LABRB,Fabaceae,Fabaceae
2106,"Lathyrus eucosmus Butters & St. John","Bush Vetchling",LAEU,Fabaceae,Fabaceae
2107,"Lathyrus graminifolius (S. Wats.) White","Grassleaf Peavine",LAGR3,Fabaceae,Fabaceae
2108,"Lathyrus japonicus var. maritimus (L.) Kartesz & Gandhi","Sea Peavine",LAJAM,Fabaceae,Fabaceae
2109,"Lathyrus jepsonii ssp. californicus (S. Wats.) C.L. Hitchc.","California Peavine",LAJEC,Fabaceae,Fabaceae
2110,"Lathyrus lanszwertii var. leucanthus (Rydb.) Dorn","Aspen Peavine",LALAL3,Fabaceae,Fabaceae
2111,"Lathyrus nevadensis ssp. lanceolatus var. nuttallii (S. Wats.) C.L. Hitchc.","Nuttall's Peavine",LANEN2,Fabaceae,Fabaceae
2112,"Lathyrus ochroleucus Hook.","Cream Peavine",LAOC2,Fabaceae,Fabaceae
2113,"Lathyrus palustris L.","Slenderstem Peavine",LAPA4,Fabaceae,Fabaceae
2114,"Lathyrus polymorphus ssp. polymorphus var. polymorphus","Manystem Peavine",LAPOP2,Fabaceae,Fabaceae
2115,"Lathyrus sp.","","",Fabaceae,Fabaceae
2116,"Lathyrus venosus Muhl. ex Willd.","Veiny Peavine",LAVE,Fabaceae,Fabaceae
2117,"Lathyrus vestitus Nutt.","Pacific Peavine",LAVEV,Fabaceae,Fabaceae
2118,"Layia glandulosa (Hook.) Hook. & Arn.","Whitedaisy Tidytips",LAGL5,Asteraceae,Asteraceae
2119,"Layia platyglossa (Fisch. & C.A. Mey.) Gray","Coastal Tidytips",LAPL,Asteraceae,Asteraceae
2120,"Leathesia difformis (L.) Areschoug","Bubble Seaweed","",Leathesiaceae,""
2121,"Lechea minor L.","Thymeleaf Pinweed",LEMI,Cistaceae,Cistaceae
2122,"Lechea sp.",Pinweed,"",Cistaceae,Cistaceae
2123,"Ledum ?columbianum Piper (pro sp.)  [glandulosum ? groenlandicum]","Coast Labradortea",LECO8,Ericaceae,Ericaceae
2124,"Ledum glandulosum Nutt.","Western Labradortea",LEGL,Ericaceae,Ericaceae
2125,"Ledum groenlandicum Oeder","Bog Labradortea",LEGR,Ericaceae,Ericaceae
2126,"Ledum palustre L.","Marsh Labradortea",LEPAD,Ericaceae,Ericaceae
2127,"Ledum palustre ssp. decumbens (Ait.) Hult‚n","Marsh Labradortea",LEPAD,Ericaceae,Ericaceae
2128,"Leiophyllum buxifolium (Berg.) Ell.",Sandmyrtle,LEBU,Ericaceae,Ericaceae
2129,"Lemna trisulca L.","Star Duckweed",LETR,Lemnaceae,Araceae
2130,"Lens culinaris Medik.",Lentil,LECU2,Fabaceae,Fabaceae
2131,"Leonurus cardiaca L.","Common Motherwort",LECA2,Lamiaceae,Lamiaceae
2132,"Lepechinia calycina (Benth.) Epling ex Munz",Woodbalm,LECA3,Lamiaceae,Lamiaceae
2133,"Lepidium campestre (L.) Ait. f.","Field Pepperweed",LECA5,Brassicaceae,Brassicaceae
2134,"Lepidium densiflorum Schrad.","Common Pepperweed",LEDED,Brassicaceae,Brassicaceae
2135,"Lepidium fremontii S. Wats.","Desert Pepperweed",LEFRF,Brassicaceae,Brassicaceae
2136,"Lepidium lasiocarpum Nutt.","Shaggyfruit Pepperweed",LELAL,Brassicaceae,Brassicaceae
2137,"Lepidium montanum Nutt.","Mountain Pepperweed",LEMOM,Brassicaceae,Brassicaceae
2138,"Lepidium nitidum Nutt.","Shining Pepperweed",LENIN,Brassicaceae,Brassicaceae
2139,"Lepidium sp.",Peppergrass,"",Brassicaceae,Brassicaceae
2140,"Lepidium thurberi Woot.","Thurber's Pepperweed",LETH2,Brassicaceae,Brassicaceae
2141,"Lepidium virginicum L.","Virginia Pepperweed",LEVIV2,Brassicaceae,Brassicaceae
2142,"Lepidium virginicum var. menziesii (DC.) C.L. Hitchc.","Menzies' Pepperweed",LEVIM2,Brassicaceae,Brassicaceae
2143,"Leptarrhena pyrolifolia (D. Don) R. Br. ex Ser.","Fireleaf Leptarrhena",LEPY,Saxifragaceae,Saxifragaceae
2144,"Leptodactylon pungens (Torr.) Torr. ex Nutt.","Granite Pricklygilia",LEPU,Polemoniaceae,Polemoniaceae
2145,"Lespedeza capitata Michx.","Roundhead Lespedeza",LECA8,Fabaceae,Fabaceae
2146,"Lespedeza sp.","","",Fabaceae,Fabaceae
2147,"Lesquerella douglasii S. Wats.","Douglas' Bladderpod",LEDO2,Brassicaceae,Brassicaceae
2148,"Lesquerella fendleri (Gray) S. Wats.","Fendler's Bladderpod",LEFE,Brassicaceae,Brassicaceae
2149,"Lesquerella intermedia (S. Wats.) Heller","Mid Bladderpod",LEIN3,Brassicaceae,Brassicaceae
2150,"Lesquerella rectipes Woot. & Standl.","Straight Bladderpod",LERE3,Brassicaceae,Brassicaceae
2151,"Lessingia glandulifera var. glandulifera","Valley Vinegarweed",LEGLG,Asteraceae,Asteraceae
2152,"Lessoniopsis littoralis (Farlow & Setchell) Reinke","Short Kelp","",Lessioniaceae,""
2153,"Letharia vulpina","","",Usneaceae,""
2154,"Leucanthemum vulgare Lam.",Oxeyedaisy,LEVU,Asteraceae,Asteraceae
2155,"Leucocrinum montanum Nutt. ex Gray","Common Starlily",LEMO4,Liliaceae,Nartheciaceae
2156,"Leucothoe axillaris (Lam.) D. Don","Coastal Doghobble",LEAX,Ericaceae,Ericaceae
2157,"Lewisia columbiana (T.J. Howell ex Gray) B.L. Robins.","Columbian Bitterroot",LECOC,Portulacaceae,Portulacaceae
2158,"Lewisia pygmaea (Gray) B.L. Robins.","Pigmy Bitterroot",LEPY2,Portulacaceae,Portulacaceae
2159,"Lewisia rediviva Pursh","Oregon Bitterroot",LERER,Portulacaceae,Portulacaceae
2160,"Leymus cinereus (Scribn. & Merr.) A. L”ve","Basin Wildrye",LECI4,Poaceae,Poaceae
2161,"Leymus condensatus (J. Presl) A. L”ve","Giant Wildrye",LECO12,Poaceae,Poaceae
2162,"Leymus mollis ssp. mollis","American Dunegrass",LEMOM2,Poaceae,Poaceae
2163,"Leymus triticoides (Buckl.) Pilger","Beardless Wildrye",LETR5,Poaceae,Poaceae
2164,"Liatris acidota Engelm. & Gray","Sharp Gayfeather",LIAC,Asteraceae,Asteraceae
2165,"Liatris laxa Small","Rattlesnake Master","",Asteraceae,Asteraceae
2166,"Liatris punctata Hook.","Dotted Gayfeather",LIPUP,Asteraceae,Asteraceae
2167,"Liatris punctata var. punctata","Dotted Gayfeather",LIPUP,Asteraceae,Asteraceae
2168,"Liatris scariosa (L.) Willd.","Devil's Bite",LISCS3,Asteraceae,Asteraceae
2169,"Liatris scariosa var. scariosa","Devil's Bite",LISCS3,Asteraceae,Asteraceae
2170,"Liatris sp.","Deer's Potato","",Asteraceae,Asteraceae
2171,"Liatris spicata (L.) Willd.","Dense Gayfeather",LISPS,Asteraceae,Asteraceae
2172,"Libocedrus sp.","","",Cupressaceae,Cupressaceae
2173,"Licania michauxii Prance","Gopher Apple",LIMI5,Chrysobalanaceae,Chrysobalanaceae
2174,"Ligusticum apiifolium (Nutt. ex Torr. & Gray) Gray","Celeryleaf Licoriceroot",LIAP,Apiaceae,Apiaceae
2175,"Ligusticum californicum Coult. & Rose","California Licoriceroot",LICA,Apiaceae,Apiaceae
2176,"Ligusticum canadense (L.) Britt.","Canadian Licoriceroot",LICA16,Apiaceae,Apiaceae
2177,"Ligusticum canbyi (Coult. & Rose) Coult. & Rose","Canby's Licoriceroot",LICA2,Apiaceae,Apiaceae
2178,"Ligusticum filicinum S. Wats.","Fernleaf Licoriceroot",LIFI,Apiaceae,Apiaceae
2179,"Ligusticum grayi Coult. & Rose","Gray's Licoriceroot",LIGR,Apiaceae,Apiaceae
2180,"Ligusticum porteri Coult. & Rose","Porter's Licoriceroot",LIPOP,Apiaceae,Apiaceae
2181,"Ligusticum scoticum L.","Scottish Licoriceroot",LISCS2,Apiaceae,Apiaceae
2182,"Ligusticum scoticum ssp. hultenii (Fern.) Calder & Taylor","Hulten's Licoriceroot",LISCH,Apiaceae,Apiaceae
2183,"Lilium canadense L.","Canadian Lily",LICAC,Liliaceae,Nartheciaceae
2184,"Lilium columbianum hort. ex Baker","Columbian Lily",LICO,Liliaceae,Nartheciaceae
2185,"Lilium occidentale Purdy","Eureka Lily",LIOC2,Liliaceae,Nartheciaceae
2186,"Lilium pardalinum Kellogg","Leopard Lily",LIPAP2,Liliaceae,Nartheciaceae
2187,"Lilium parvum Kellogg","Sierran Tiger Lily",LIPA3,Liliaceae,Nartheciaceae
2188,"Lilium philadelphicum L.","Wood Lily",LIPHP,Liliaceae,Nartheciaceae
2189,"Lilium philadelphicum var. andinum (Nutt.) Ker-Gawl.","Wood Lily",LIPHA,Liliaceae,Nartheciaceae
2190,"Lilium rubescens S. Wats.","Redwood Lily",LIRU,Liliaceae,Nartheciaceae
2191,"Limonium californicum (Boiss.) Heller","California Sealavender",LICA5,Plumbaginaceae,Plumbaginaceae
2192,"Limonium carolinianum (Walt.) Britt.","Carolina Sealavender",LICA17,Plumbaginaceae,Plumbaginaceae
2193,"Limonium vulgare P. Mill.","Mediterranean Sealavender","",Plumbaginaceae,Plumbaginaceae
2194,"Limosella aquatica L.","Water Mudwort",LIAQ,Scrophulariaceae,Orobanchaceae
2195,"Linanthus ciliatus (Benth.) Greene",Whiskerbrush,LICIC,Polemoniaceae,Polemoniaceae
2196,"Linanthus nuttallii ssp. nuttallii","Nuttall's Deserttrumpets",LINUN,Polemoniaceae,Polemoniaceae
2197,"Linaria vulgaris P. Mill.","Butter And Eggs",LIVU2,Scrophulariaceae,Orobanchaceae
2198,"Lindera benzoin (L.) Blume","Northern Spicebush",LIBEB,Lauraceae,Lauraceae
2199,"Lindera benzoin var. benzoin","Northern Spicebush",LIBEB,Lauraceae,Lauraceae
2200,"Lindera sp.",Spicewood,"",Lauraceae,Lauraceae
2201,"Linnaea borealis L.",Twinflower,LIBOA,Caprifoliaceae,Caprifoliaceae
2202,"Linnaea borealis ssp. longiflora (Torr.) Hult‚n","Longtube Twinflower",LIBOL2,Caprifoliaceae,Caprifoliaceae
2203,"Linum australe Heller","Southern Flax",LIAUA,Linaceae,Linaceae
2204,"Linum australe var. australe","Southern Flax",LIAUA,Linaceae,Linaceae
2205,"Linum lewisii Pursh","Prairie Flax",LIPE2,Linaceae,Linaceae
2206,"Linum puberulum (Engelm.) Heller","Plains Flax",LIPU4,Linaceae,Linaceae
2207,"Linum rigidum Pursh","Stiffstem Flax",LIRIR,Linaceae,Linaceae
2208,"Linum usitatissimum L.","Common Flax",LIUS,Linaceae,Linaceae
2209,"Liparis loeselii (L.) L.C. Rich.","Yellow Widelip Orchid",LILO,Orchidaceae,Orchidaceae
2210,"Liquidambar styraciflua L.",Sweetgum,LIST2,Hamamelidaceae,Hamamelidaceae
2211,"Liriodendron tulipifera L.",Tuliptree,LITU,Magnoliaceae,Magnoliaceae
2212,"Lithocarpus densiflorus (Hook. & Arn.) Rehd.",Tanoak,LIDED2,Fagaceae,Fagaceae
2213,"Lithophragma affine Gray","Common Woodlandstar",LIAFA,Saxifragaceae,Saxifragaceae
2214,"Lithospermum canescens (Michx.) Lehm.","Hoary Puccoon",LICA12,Boraginaceae,Boraginaceae
2215,"Lithospermum caroliniense (Walt. ex J.F. Gmel.) MacM.","Hairy Puccoon",LICAC8,Boraginaceae,Boraginaceae
2216,"Lithospermum incisum Lehm.","Narrowleaf Gromwell",LIIN2,Boraginaceae,Boraginaceae
2217,"Lithospermum multiflorum Torr. ex Gray","Manyflowered Gromwell",LIMU3,Boraginaceae,Boraginaceae
2218,"Lithospermum officinale L.","European Gromwell",LIOF,Boraginaceae,Boraginaceae
2219,"Lithospermum ruderale Dougl. ex Lehm.","Western Gromwell",LIRU4,Boraginaceae,Boraginaceae
2220,"Lithospermum sp.","","",Boraginaceae,Boraginaceae
2221,"Lobelia cardinalis L.",Cardinalflower,LOCA2,Campanulaceae,Campanulaceae
2222,"Lobelia inflata L.","Indian Tobacco",LOIN,Campanulaceae,Campanulaceae
2223,"Lobelia kalmii L.","Ontario Lobelia",LOKA,Campanulaceae,Campanulaceae
2224,"Lobelia siphilitica L.","Great Blue Lobelia",LOSIS2,Campanulaceae,Campanulaceae
2225,"Lobelia sp.","","",Campanulaceae,Campanulaceae
2226,"Lobelia spicata Lam.","Palespike Lobelia",LOSPS4,Campanulaceae,Campanulaceae
2227,"Lobularia maritima (L.) Desv.","Seaside Lobularia",LOMA,Brassicaceae,Brassicaceae
2228,"Loeseliastrum matthewsii (Gray) Timbrook","Desert Calico",LOMA10,Polemoniaceae,Polemoniaceae
2229,"Lolium temulentum L.","Darnel Ryegrass",LOTE2,Poaceae,Poaceae
2230,"Lomatium ambiguum (Nutt.) Coult. & Rose","Wyeth Biscuitroot",LOAM,Apiaceae,Apiaceae
2231,"Lomatium bicolor var. leptocarpum (Torr. & Gray) Schlessman","Wasatch Desertparsley",LOBIL,Apiaceae,Apiaceae
2232,"Lomatium californicum (Nutt.) Mathias & Constance","California Lomatium",LOCA3,Apiaceae,Apiaceae
2233,"Lomatium canbyi (Coult. & Rose) Coult. & Rose","Canby's Biscuitroot",LOCA4,Apiaceae,Apiaceae
2234,"Lomatium cous (S. Wats.) Coult. & Rose","Cous Biscuitroot",LOCO4,Apiaceae,Apiaceae
2235,"Lomatium dissectum (Nutt.) Mathias & Constance","Fernleaf Buscuitroot",LODID2,Apiaceae,Apiaceae
2236,"Lomatium dissectum var. dissectum","Fernleaf Biscuitroot",LODID2,Apiaceae,Apiaceae
2237,"Lomatium dissectum var. multifidum (Nutt.) Mathias & Constance","Carrotleaf Biscuitroot",LODIM,Apiaceae,Apiaceae
2238,"Lomatium farinosum (Hook.) Coult. & Rose","Northern Biscuitroot",LOFAF,Apiaceae,Apiaceae
2239,"Lomatium foeniculaceum ssp. daucifolium (Torr. & Gray) Theobald","Desert Biscuitroot",LOFOD,Apiaceae,Apiaceae
2240,"Lomatium geyeri (S. Wats.) Coult. & Rose","Geyer's Biscuitroot",LOGE2,Apiaceae,Apiaceae
2241,"Lomatium graveolens var. graveolens","King Desertparsley",LOGRG,Apiaceae,Apiaceae
2242,"Lomatium grayi (Coult. & Rose) Coult. & Rose","Gray's Biscuitroot",LOGRG2,Apiaceae,Apiaceae
2243,"Lomatium macrocarpum (Nutt. ex Torr. & Gray) Coult. & Rose","Bigseed Biscuitroot",LOMA3,Apiaceae,Apiaceae
2244,"Lomatium nevadense (S. Wats.) Coult. & Rose","Nevada Biscuitroot",LONEN,Apiaceae,Apiaceae
2245,"Lomatium nevadense var. parishii (Coult. & Rose) Jepson","Parish's Biscuitroot",LONEP,Apiaceae,Apiaceae
2246,"Lomatium nudicaule (Pursh) Coult. & Rose","Barestem Biscuitroot",LONU2,Apiaceae,Apiaceae
2247,"Lomatium nuttallii (Gray) J.F. Macbr.","Nuttall's Biscuitroot",LONU3,Apiaceae,Apiaceae
2248,"Lomatium orientale Coult. & Rose","Northern Idaho Biscuitroot",LOOR,Apiaceae,Apiaceae
2249,"Lomatium piperi Coult. & Rose","Indian Biscuitroot",LOPI,Apiaceae,Apiaceae
2250,"Lomatium simplex (Nutt.) J.F. Macbr.","Narrowleaf Lomatium",LOSIS,Apiaceae,Apiaceae
2251,"Lomatium simplex var. leptophyllum (Hook.) Mathias","Narrowleaf Lomatium",LOSIL2,Apiaceae,Apiaceae
2252,"Lomatium simplex var. simplex","Great Basin Desertparsley",LOSIS,Apiaceae,Apiaceae
2253,"Lomatium sp.","Biscuit Root","",Apiaceae,Apiaceae
2254,"Lomatium triternatum (Pursh) Coult. & Rose","Nineleaf Biscuitroot",LOTRT,Apiaceae,Apiaceae
2255,"Lomatium utriculatum (Nutt. ex Torr. & Gray) Coult. & Rose","Common Lomatium",LOUT,Apiaceae,Apiaceae
2256,"Lomatium watsonii (Coult. & Rose) Coult. & Rose","Watson's Desertparsley",LOWA,Apiaceae,Apiaceae
2257,"Lonicera arizonica Rehd.","Arizona Honeysuckle",LOAR,Caprifoliaceae,Caprifoliaceae
2258,"Lonicera canadensis Bartr. ex Marsh.","American Fly Honeysuckle",LOCA7,Caprifoliaceae,Caprifoliaceae
2259,"Lonicera ciliosa (Pursh) Poir. ex DC.","Orange Honeysuckle",LOCI3,Caprifoliaceae,Caprifoliaceae
2260,"Lonicera conjugialis Kellogg","Purpleflower Honeysuckle",LOCO5,Caprifoliaceae,Caprifoliaceae
2261,"Lonicera dioica L.","Limber Honeysuckle",LODI2,Caprifoliaceae,Caprifoliaceae
2262,"Lonicera hispidula (Lindl.) Dougl. ex Torr. & Gray","Pink Honeysuckle",LOHIH,Caprifoliaceae,Caprifoliaceae
2263,"Lonicera hispidula var. vacillans (Benth.) Gray","Pink Honeysuckle",LOHIV,Caprifoliaceae,Caprifoliaceae
2264,"Lonicera interrupta Benth.","Chaparral Honeysuckle",LOIN4,Caprifoliaceae,Caprifoliaceae
2265,"Lonicera involucrata Banks ex Spreng.","Twinberry Honeysuckle",LOINI,Caprifoliaceae,Caprifoliaceae
2266,"Lonicera japonica Thunb.","Japanese Honeysuckle",LOJA,Caprifoliaceae,Caprifoliaceae
2267,"Lonicera oblongifolia (Goldie) Hook.","Swamp Fly Honeysuckle",LOOB,Caprifoliaceae,Caprifoliaceae
2268,"Lonicera sp.",Honeysuckle,"",Caprifoliaceae,Caprifoliaceae
2269,"Lonicera subspicata var. johnstonii Keck","Johnston's Honeysuckle",LOSUJ,Caprifoliaceae,Caprifoliaceae
2270,"Lonicera utahensis S. Wats.","Utah Honeysuckle",LOUT2,Caprifoliaceae,Caprifoliaceae
2271,"Lophophora williamsii (Lem. ex Salm-Dyck) Coult.",Peyote,LOWI,Cactaceae,Cactaceae
2272,"Lotus humistratus Greene","Foothill Deervetch",LOHU2,Fabaceae,Fabaceae
